SI,Emoji Unicode,Emoji Name,Emoji Character
336,U+1F1FA-U+1F1EC,:Uganda:,🇺🇬
337,U+1F1FA-U+1F1E6,:Ukraine:,🇺🇦
338,U+1F1E6-U+1F1EA,:United_Arab_Emirates:,🇦🇪
339,U+1F1EC-U+1F1E7,:United_Kingdom:,🇬🇧
340,U+1F1FA-U+1F1F3,:United_Nations:,🇺🇳
341,U+1F1FA-U+1F1F8,:United_States:,🇺🇸
342,U+1F1FA-U+1F1FE,:Uruguay:,🇺🇾
343,U+1F1FA-U+1F1FF,:Uzbekistan:,🇺🇿
344,U+1F19A,:VS_button:,🆚
345,U+1F1FB-U+1F1FA,:Vanuatu:,🇻🇺
346,U+1F1FB-U+1F1E6,:Vatican_City:,🇻🇦
347,U+1F1FB-U+1F1EA,:Venezuela:,🇻🇪
348,U+1F1FB-U+1F1F3,:Vietnam:,🇻🇳
349,U+264D,:Virgo:,♍
350,U+1F3F4-U+E0067-U+E0062-U+E0077-U+E006C-U+E0073-U+E007F,:Wales:,🏴󠁧󠁢󠁷󠁬󠁳󠁿
351,U+1F1FC-U+1F1EB,:Wallis_&_Futuna:,🇼🇫
352,U+1F1EA-U+1F1ED,:Western_Sahara:,🇪🇭
353,U+1F1FE-U+1F1EA,:Yemen:,🇾🇪
354,U+1F4A4,:ZZZ:,💤
355,U+1F1FF-U+1F1F2,:Zambia:,🇿🇲
356,U+1F1FF-U+1F1FC,:Zimbabwe:,🇿🇼
357,U+1F9EE,:abacus:,🧮
358,U+1FA97,:accordion:,🪗
359,U+1FA79,:adhesive_bandage:,🩹
360,U+1F39F-U+FE0F,:admission_tickets:,🎟️
361,U+1F39F,:admission_tickets:,🎟
362,U+1F6A1,:aerial_tramway:,🚡
363,U+2708-U+FE0F,:airplane:,✈️
364,U+2708,:airplane:,✈
365,U+1F6EC,:airplane_arrival:,🛬
366,U+1F6EB,:airplane_departure:,🛫
367,U+23F0,:alarm_clock:,⏰
368,U+2697-U+FE0F,:alembic:,⚗️
369,U+2697,:alembic:,⚗
370,U+1F47D,:alien:,👽
371,U+1F47E,:alien_monster:,👾
372,U+1F691,:ambulance:,🚑
373,U+1F3C8,:american_football:,🏈
374,U+1F3FA,:amphora:,🏺
375,U+1FAC0,:anatomical_heart:,🫀
376,U+2693,:anchor:,⚓
377,U+1F4A2,:anger_symbol:,💢
378,U+1F620,:angry_face:,😠
379,U+1F47F,:angry_face_with_horns:,👿
380,U+1F627,:anguished_face:,😧
381,U+1F41C,:ant:,🐜
382,U+1F4F6,:antenna_bars:,📶
383,U+1F630,:anxious_face_with_sweat:,😰
384,U+1F69B,:articulated_lorry:,🚛
385,U+1F9D1-U+200D-U+1F3A8,:artist:,🧑‍🎨
386,U+1F9D1-U+1F3FF-U+200D-U+1F3A8,:artist_dark_skin_tone:,🧑🏿‍🎨
387,U+1F9D1-U+1F3FB-U+200D-U+1F3A8,:artist_light_skin_tone:,🧑🏻‍🎨
